PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare
1,0,3,"Brown, James",male,27.9,0,1,4.0
2,0,3,"Johnson, Николай",male,,3,2,8.87
3,0,3,"Brown, Дмитрий",male,34.5,0,0,18.65
4,0,1,"Williams, Иван",male,16.6,0,0,109.44
5,1,2,"Johnson, Сергей",,38.7,0,0,22.26
6,0,3,"Davis, George",male,24.5,0,0,16.07
7,1,1,"Davis, Наталья",female,37.8,0,0,44.78
8,1,1,"Miller, William",male,38.2,0,0,92.58
9,1,2,"Иванов, William",male,43.0,1,0,22.88
10,1,3,"Brown, Ольга",female,,1,2,13.26
11,0,3,"Davis, John",male,12.8,1,0,11.96
12,0,1,"Williams, Сергей",male,,0,1,128.81
13,1,3,"Williams, James",male,31.0,0,0,10.47
14,1,2,"Miller, Иван",male,,1,0,8.63
15,0,3,"Williams, Николай",male,27.2,2,0,14.38
16,0,3,"Johnson, Алексей",male,,2,2,13.67
17,0,3,"Miller, Margaret",female,,3,0,13.62
18,1,1,"Иванов, John",male,33.9,2,1,88.6
19,1,2,"Иванов, Елена",,,0,0,21.76
20,0,3,"Иванов, John",male,15.2,2,0,5.44
21,1,3,"Brown, Иван",male,29.2,0,2,11.88
22,0,3,"Brown, Мария",female,38.6,0,0,19.71
23,0,2,"Davis, William",male,,0,1,25.0
24,0,2,"Miller, Алексей",male,,0,0,7.18
25,0,3,"Иванов, Grace",female,32.4,3,0,9.88
26,0,1,"Davis, John",male,28.4,0,2,91.98
27,0,3,"Петров, Дмитрий",male,38.2,0,1,8.6
28,1,2,"Smith, Grace",female,34.1,2,1,34.42
29,0,3,"Иванов, Дмитрий",male,7.2,0,0,16.05
30,0,2,"Johnson, Grace",female,50.6,0,0,29.79
31,0,3,"Smith, Margaret",female,38.6,0,0,12.99
32,0,2,"Williams, Елена",female,42.1,0,0,44.77
33,0,2,"Brown, Иван",male,28.0,4,2,34.21
34,0,2,"Williams, Алексей",male,18.8,0,1,37.38
35,0,3,"Brown, Пётр",male,,0,0,11.59
36,0,3,"Иванов, Пётр",male,33.5,0,0,18.19
37,0,2,"Williams, Margaret",female,34.0,1,1,38.45
38,0,2,"Davis, James",male,17.4,0,0,34.04
39,0,2,"Davis, Алексей",male,9.2,2,0,34.89
40,1,2,"Соколов, William",male,26.2,0,2,29.02
41,1,2,"Петров, Алексей",male,26.6,0,0,39.73
42,0,2,"Smith, Алексей",male,25.2,1,0,20.12
43,0,2,"Williams, John",male,15.3,0,0,33.7
44,0,3,"Соколов, John",male,19.6,0,1,7.71
45,0,3,"Соколов, Елена",female,36.6,3,0,13.26
46,0,3,"Miller, Елена",female,23.0,0,0,7.93
47,0,2,"Петров, John",male,,0,0,33.28
48,0,1,"Brown, Николай",male,54.1,0,1,46.69
49,0,1,"Петров, Алексей",male,43.9,0,1,58.48
50,0,3,"Петров, James",male,30.8,1,1,12.54
51,0,1,"Иванов, Пётр",male,23.0,1,1,60.7
52,0,3,"Johnson, William",male,,1,2,15.85
53,1,1,"Кузнецов, Margaret",female,36.0,2,0,77.34
54,0,3,"Williams, James",male,43.1,2,0,13.92
55,0,3,"Петров, Сергей",male,7.3,0,2,12.54
56,0,1,"Miller, Пётр",male,43.9,1,0,131.66
57,1,2,"Williams, George",male,,0,0,33.51
58,0,3,"Brown, Николай",male,,0,0,21.12
59,0,3,"Brown, Иван",male,,0,0,14.43
60,0,3,"Williams, Сергей",male,7.4,0,0,8.82
61,0,2,"Davis, Николай",male,45.1,0,0,26.68
62,0,3,"Johnson, John",male,39.9,0,0,20.99
63,1,3,"Smith, Николай",male,16.9,1,2,17.93
64,0,2,"Кузнецов, James",male,47.4,2,0,35.19
65,0,2,"Петров, James",male,31.8,0,2,24.12
66,0,3,"Smith, William",male,38.6,3,0,7.88
67,0,3,"Brown, John",male,44.2,1,0,11.17
68,0,2,"Smith, Сергей",male,46.7,1,0,44.16
69,0,3,"Соколов, Helen",female,,1,1,20.14
70,1,1,"Brown, Helen",female,35.1,0,0,105.98
71,0,,"Кузнецов, James",male,40.2,0,1,30.64
72,0,2,"Miller, Сергей",male,30.5,0,0,19.44
73,0,3,"Петров, John",male,,0,1,11.51
74,0,,"Smith, Ирина",female,,0,2,13.16
75,0,3,"Williams, Дмитрий",male,,0,1,6.18
76,1,3,"Smith, Helen",female,9.3,0,0,19.58
77,0,2,"Smith, Сергей",male,35.3,0,2,27.87
78,0,3,"Johnson, John",male,,1,0,21.09
79,0,3,"Brown, William",male,6.1,0,0,9.36
80,0,2,"Miller, John",male,23.8,1,0,22.62
81,0,2,"Davis, Алексей",male,11.8,0,0,15.56
82,0,3,"Davis, Николай",male,19.7,0,0,12.12
83,0,3,"Иванов, Ольга",female,0.5,0,0,8.09
84,0,3,"Johnson, John",male,38.7,0,0,8.48
85,0,2,"Johnson, Алексей",male,38.9,0,0,17.27
86,1,3,"Miller, Margaret",female,,0,1,12.95
87,1,3,"Miller, Мария",female,14.0,0,0,11.05
88,0,3,"Петров, Сергей",male,,0,1,4.0
89,0,3,"Johnson, Алексей",,,0,0,13.79
90,0,3,"Williams, James",male,,2,0,9.12
91,1,3,"Иванов, Helen",female,,0,0,15.0
92,1,2,"Brown, Мария",female,29.4,1,0,23.08
93,0,2,"Miller, Иван",male,,2,3,24.74
94,1,3,"Кузнецов, Анна",female,,1,1,9.94
95,0,3,"Петров, Helen",female,28.3,0,0,19.62
96,0,1,"Miller, Пётр",male,47.0,2,0,47.27
97,0,3,"Williams, Дмитрий",male,15.9,1,2,18.9
98,0,1,"Иванов, James",male,46.6,3,0,40.85
99,0,1,"Кузнецов, James",male,56.2,0,0,75.22
100,0,3,"Brown, Николай",male,7.8,0,2,17.14
101,0,2,"Davis, Дмитрий",male,21.5,0,0,25.13
102,0,3,"Williams, William",male,41.8,0,0,13.95
103,0,3,"Johnson, Алексей",male,40.9,2,0,16.13
104,0,2,"Кузнецов, Пётр",male,0.5,1,1,35.04
105,0,3,"Петров, Margaret",female,,0,2,12.49
106,0,1,"Davis, Алексей",male,55.4,0,2,29.57
107,0,2,"Соколов, Пётр",male,48.2,0,0,39.76
108,0,1,"Brown, John",male,29.3,0,0,56.41
109,1,1,"Иванов, William",male,52.3,0,0,23.83
110,0,2,"Петров, Дмитрий",male,23.2,0,0,40.56
111,0,3,"Smith, William",male,,1,2,10.35
112,1,3,"Williams, Ольга",female,36.8,1,1,10.02
113,0,2,"Williams, Alice",female,39.1,2,0,27.01
114,0,3,"Williams, Дмитрий",male,,1,0,15.51
115,0,2,"Miller, Алексей",male,64.2,3,0,32.11
116,0,3,"Johnson, Анна",female,24.3,0,0,11.03
117,0,3,"Brown, William",male,11.2,2,1,11.01
118,0,3,"Johnson, Алексей",male,36.4,0,1,14.15
119,0,3,"Davis, Сергей",male,22.0,0,0,9.31
120,1,1,"Соколов, Helen",female,55.3,0,0,66.15
121,1,1,"Smith, Алексей",male,22.6,0,1,57.81
122,0,3,"Иванов, Алексей",male,41.9,3,0,12.69
123,1,2,"Miller, Елена",female,,4,0,15.57
124,1,3,"Davis, Дмитрий",male,,0,0,9.74
125,1,2,"Smith, Alice",female,12.8,1,2,23.04
126,0,,"Соколов, John",male,44.2,0,1,91.34
127,1,2,"Davis, William",male,,2,3,22.63
128,0,3,"Williams, Дмитрий",male,23.5,0,0,6.67
129,1,3,"Кузнецов, Иван",male,23.4,0,0,15.81
130,1,1,"Соколов, Helen",female,44.3,1,0,97.62
131,1,3,"Davis, Ирина",female,41.6,2,0,14.22
132,1,1,"Smith, George",male,37.1,0,0,68.76
133,1,1,"Williams, Пётр",male,27.6,1,1,37.58
134,0,2,"Davis, James",male,13.1,3,0,23.97
135,1,1,"Smith, Наталья",female,61.0,0,0,105.4
136,0,3,"Кузнецов, Елена",female,,3,3,15.38
137,0,3,"Williams, Ольга",female,31.2,1,0,10.2
138,0,3,"Иванов, Сергей",male,24.1,0,0,13.36
139,0,2,"Соколов, Николай",male,22.2,0,3,24.73
140,1,3,"Кузнецов, Helen",female,,3,0,8.04
141,0,2,"Davis, Николай",male,33.4,2,0,30.47
142,0,1,"Иванов, William",male,54.4,2,0,77.12
143,0,3,"Miller, Сергей",male,,0,0,4.0
144,1,3,"Smith, Дмитрий",male,15.5,0,0,11.61
145,1,2,"Miller, Margaret",female,,0,1,21.33
146,0,2,"Williams, Алексей",male,28.8,0,0,22.01
147,0,3,"Miller, Сергей",male,38.9,1,2,9.13
148,0,3,"Brown, James",male,,0,0,6.71
149,1,2,"Brown, Margaret",female,55.2,0,0,18.45
150,0,1,"Davis, James",male,49.9,0,0,128.1
151,1,2,"Davis, Ольга",female,,0,0,22.85
152,1,2,"Иванов, Алексей",male,36.0,1,1,27.74
153,0,3,"Петров, Иван",male,,2,1,20.6
154,1,1,"Johnson, James",male,,0,1,57.7
155,0,3,"Петров, Дмитрий",male,,1,0,8.99
156,1,2,"Кузнецов, Наталья",female,24.6,2,0,20.33
157,1,3,"Smith, Мария",female,,0,0,7.19
158,1,2,"Соколов, Наталья",female,13.5,0,0,40.61
159,0,2,"Иванов, Николай",male,,0,0,45.16
160,0,1,"Miller, James",male,57.4,0,3,49.74
161,0,2,"Johnson, Дмитрий",male,35.0,0,0,24.58
162,0,3,"Кузнецов, James",male,,0,0,17.2
163,0,2,"Davis, Иван",male,45.7,1,0,34.03
164,1,2,"Brown, Helen",female,10.5,2,0,43.85
165,0,2,"Соколов, Дмитрий",male,12.5,1,1,21.37
166,0,1,"Иванов, Иван",male,41.2,0,0,10.07
167,1,1,"Петров, Анна",female,45.9,3,0,45.38
168,0,2,"Williams, Алексей",male,38.8,2,0,28.03
169,0,3,"Johnson, Алексей",male,47.1,0,0,10.66
170,0,3,"Кузнецов, William",male,23.7,0,0,14.71
171,0,3,"Williams, William",male,24.5,2,1,15.63
172,0,2,"Brown, Сергей",male,40.0,0,2,31.79
173,0,1,"Williams, Helen",female,52.5,1,1,40.76
174,0,1,"Иванов, Helen",female,39.6,0,0,102.32
175,0,1,"Johnson, Grace",,45.8,0,0,72.34
176,0,1,"Johnson, Сергей",male,5.0,3,0,122.52
177,1,3,"Петров, Наталья",female,,0,0,10.16
178,0,3,"Davis, Пётр",male,36.7,0,0,15.09
179,1,1,"Williams, Алексей",male,38.5,1,0,60.61
180,0,3,"Brown, Сергей",male,,0,0,9.92
181,0,2,"Miller, Grace",female,32.8,0,1,32.47
182,0,3,"Соколов, William",male,29.1,0,1,19.36
183,0,2,"Иванов, John",male,21.8,2,2,26.36
184,0,2,"Петров, Елена",female,34.6,0,0,15.3
185,0,3,"Петров, William",male,0.5,0,1,15.19
186,1,1,"Кузнецов, George",male,55.3,0,0,99.48
187,0,3,"Johnson, Иван",male,,0,1,7.14
188,1,3,"Петров, Alice",female,12.6,0,0,13.16
189,0,3,"Петров, George",male,21.8,0,3,9.4
190,0,3,"Williams, George",male,48.4,1,0,12.66
191,1,3,"Johnson, Margaret",female,23.9,3,0,14.6
192,0,3,"Brown, Margaret",female,6.0,1,2,8.97
193,0,3,"Davis, Иван",male,23.9,0,0,7.24
194,1,2,"Кузнецов, Helen",female,27.4,2,2,21.58
195,1,2,"Johnson, George",male,23.2,0,1,25.73
196,0,3,"Johnson, Пётр",male,,1,0,12.85
197,0,3,"Miller, Сергей",male,0.5,1,2,8.24
198,1,3,"Johnson, Ольга",female,13.7,1,0,10.1
199,1,1,"Smith, Grace",female,34.0,0,0,77.75
200,0,2,"Williams, James",male,26.0,0,0,29.84
201,0,3,"Соколов, Пётр",male,24.3,0,0,4.81
202,1,1,"Соколов, Пётр",male,,1,0,75.43
203,1,,"Соколов, Alice",female,30.0,2,0,15.66
204,0,3,"Кузнецов, Иван",male,40.4,0,0,5.9
205,1,1,"Davis, Helen",female,46.1,0,1,64.98
206,0,3,"Williams, Николай",male,17.8,2,2,16.92
207,0,3,"Иванов, Дмитрий",male,,1,2,10.54
208,0,3,"Иванов, Дмитрий",male,44.1,0,3,9.2
209,1,2,"Brown, Иван",male,27.5,0,1,20.37
210,0,3,"Brown, William",male,32.2,2,0,14.13
211,0,3,"Кузнецов, George",male,,2,1,6.85
212,0,1,"Кузнецов, Пётр",male,31.7,1,0,58.47
213,0,2,"Smith, William",male,31.7,4,1,23.99
214,0,2,"Brown, Николай",male,9.5,4,0,26.62
